,zipcode,train,train_pred,test_pred
0,79050,220656.0,227502.99336654568,236856.15327728947
1,79051,125471.0,126492.69867210495,129591.01445537372
2,79052,172387.0,172476.6984047674,175424.04482523305
3,79053,131565.0,132903.55944893783,137051.74670068081
4,79054,240921.0,244999.00700413523,254330.3861744027
5,79055,148928.0,151848.95056495102,160132.5705413043
6,79056,364205.0,367659.83203053963,392054.14950394485
7,79057,89865.0,89733.18002311606,86769.59659962649
8,79058,26647.0,26690.60359850632,27455.61349724782
9,79059,23792.0,23644.932690742484,25259.999423838864
10,79060,25120.0,24870.061807378166,25922.473253937078
11,79061,36699.0,36699.00000000117,41142.620640040375
12,79062,103503.0,103504.51238681676,90712.88569855195
13,79063,50663.0,50663.00000000398,52199.204827784575
14,79064,46953.0,46191.263871671385,47123.97598450483
15,79065,32227.0,32361.943279416504,32449.7590465072
16,79067,55711.0,58141.23472756357,61428.20787531453
17,79070,44115.0,47341.297816019745,49436.10060098778
18,79071,117944.0,117944.0000000001,115593.15911751876
19,79072,30001.0,27768.609463559864,28714.609260368834
20,79073,33992.0,32925.918732471895,33180.812304785366
21,79074,41447.0,41744.74749551726,44749.02875946146
22,79075,185951.0,190246.32176704824,198526.24849117416
23,79076,81309.0,81783.20885077275,88239.58943193126
24,79078,42491.0,43273.952714920124,43746.367244864814
25,79079,36654.0,37451.21545774895,40015.30190132887
26,79080,103961.0,107899.01192124265,114836.95721836858
27,79082,31829.0,31828.99999999993,32143.174732587573
28,79083,30106.0,30220.519739361844,31210.36071922775
29,79084,39078.0,39549.15445178022,40612.41264404649
30,79085,390109.0,399376.2914259567,413643.98391473095
31,79089,25778.0,25826.2507591377,26701.70296683711
32,79090,49080.0,48093.410783320294,51217.08358818766
33,79091,300971.0,303661.5359362473,308475.3478765073
34,79092,157779.0,160296.04668292098,167602.7948199349
35,79093,26865.0,27164.34433911695,30489.86649215998
36,79094,116065.0,118664.14681567623,124777.91967003341
37,79095,97465.0,98755.94630315421,104575.26993525587
38,79113,584538.0,590333.8241032053,601205.567172772
39,79114,548453.0,563320.1253864233,577524.0074303991
40,79116,491037.0,494355.62932280556,502342.70563857874
41,79117,437341.0,444584.4485034905,454416.1556629952
42,79118,313473.0,315071.54152837116,320675.20597512834
43,79120,344232.0,348590.11309558584,357451.10556496325
44,79121,222052.0,222479.92688016096,226286.44375667535
45,79123,211952.0,212687.02591132614,217586.37179805018
46,79124,212274.0,212928.60146716243,217626.50959638294
47,79125,282502.0,284026.68432573584,288952.4058224557
48,79126,363521.0,365007.2679888742,368951.1580153937
49,79127,300341.0,302974.8968842973,305863.547879267
50,79128,209471.0,211038.02163766744,216558.48448029303
51,79130,210075.0,211790.14303273795,215550.94516480295
52,79132,332208.0,335478.620411755,342207.13405996986
53,79133,382021.0,388975.6332318917,400281.7616725681
54,79134,328700.0,335382.17887297826,346135.23385351547
55,79136,186211.0,187323.06956954233,191700.83689171393
56,79137,201760.0,201915.3400066247,206531.09186565556
57,79138,172637.0,173875.11778454218,180033.1246502346
58,79139,197549.0,198812.17119207836,204344.91818522135
59,79141,340602.0,343892.1450845875,350635.3042278944
60,79144,279409.0,280257.455402171,285448.4128833489
61,79145,320694.0,323055.9524463051,329071.57096235896
62,79146,215248.0,217242.09339284126,224549.32537768228
63,79147,73336.0,74399.02798015531,79244.47304699398
64,79148,95955.0,95112.14898544847,98696.38051177555
65,79149,64690.0,64525.40027210799,69214.65082093867
66,79151,239292.0,242559.26077158735,250467.0602431577
67,79153,340187.0,348952.76944705204,360866.6913050471
68,79154,286904.0,291420.65434107033,302595.58410111174
69,79155,284430.0,285894.12755907245,290675.22361287795
70,79156,248891.0,250080.66597805845,257034.87979885552
71,79157,285600.0,288428.6039479224,295525.943608332
72,79158,254159.0,256031.70806500112,260854.21588446465
73,79159,318726.0,320044.3264907444,325245.2700234296
74,79161,264387.0,267498.8218314163,275005.8603028117
75,79162,428012.0,430754.5300004887,435013.30070737994
76,79164,332155.0,333568.871268372,338491.4656357818
77,79165,363726.0,369143.38110144425,377399.86221092346
78,79166,281609.0,284932.0106002035,292402.1325283835
79,79167,460242.0,468253.5867968472,472856.9755763964
80,79168,327024.0,331504.92421408725,337919.80063712335
81,79170,349687.0,360088.87459758716,370044.803137118
82,79171,361458.0,364976.4558366804,373431.85370711266
83,79172,312009.0,313364.0719149115,319045.62341225
84,79173,312332.0,314700.3262928588,320289.27478543523
85,79174,297014.0,299144.7423356942,306316.1077587699
86,79175,255821.0,257165.90702343918,263852.26686446654
87,79177,250611.0,251761.22099403007,256784.48638651095
88,79179,306109.0,307961.708228854,313346.62785790826
89,79182,115131.0,115702.27789295455,119685.64261280252
90,79184,184109.0,182825.55397300428,188670.54803808065
91,79185,201865.0,202998.31390511635,206169.11112120672
92,79186,96002.0,96141.67981280392,98043.58169158899
93,79187,136309.0,137638.66862491766,144190.93120231264
94,79188,152575.0,152311.75026834922,156506.18717639238
95,79189,147924.0,149137.85178607298,157398.51461873672
96,79190,135856.0,138375.15290072715,139691.9582044515
97,79191,198568.0,196692.93324985856,201940.89826907255
98,79192,85295.0,85797.81088634631,87933.14426827969
99,79193,137454.0,137159.11954666922,141063.854559574
100,79194,166541.0,166811.80590398604,171797.93375331076
101,79195,105437.0,105672.96895635061,110016.72999884601
102,79196,167993.0,167465.6287848624,171212.13735297363
103,79197,85555.0,86332.77056002137,87871.19564647357
104,79198,75482.0,76559.06219143521,76417.39536838196
105,79199,270057.0,272703.37473816064,277583.33215827204
106,79200,96608.0,97160.24431717161,101544.35295706664
107,79201,259166.0,259460.4836933239,266201.5683043002
108,79202,92381.0,93497.34238543837,95297.26010768567
109,79203,157967.0,157008.3580037348,160744.52029833227
110,79204,59120.0,57745.78602261964,59278.79140719054
111,79205,134044.0,135082.0062470579,140066.60040544096
112,79206,192076.0,189517.61816622,194839.65181073218
113,79207,98656.0,98002.8522799381,99658.51239045773
114,79208,252962.0,251509.03328511823,256901.32905163433
115,79209,196724.0,196077.37497258914,200742.5853605749
116,79210,191449.0,188944.08240375298,191674.22225959593
117,79211,94098.0,93889.32663489052,95687.63296696113
118,79212,227103.0,228588.7033730755,235249.41588145148
119,79213,190403.0,192012.72409065685,196695.74363690877
120,79214,78748.0,78582.98446041247,79082.75550533687
121,79215,179479.0,180157.5154744472,184128.60893916604
122,79216,149307.0,148325.1618905542,152491.7446682923
123,79217,119459.0,119473.01209411638,123240.58667578809
124,79218,237812.0,236208.75937277795,241617.92030014598
125,79219,91206.0,92844.76297196306,96712.71649508215
126,79220,88918.0,93814.25603401769,97452.8168065823
127,79221,284455.0,281830.96085764194,284145.595953567
128,79222,56214.0,57060.99321458531,58572.36229548399
129,79223,129525.0,128771.60604364642,133561.47672860167
130,79224,65423.0,65663.45807678647,67984.17617677376
131,79225,144474.0,142311.97691833455,141916.8888959962
132,79226,173421.0,173790.49148894963,177895.03770232928
133,79227,269525.0,271959.09273007384,279600.37293777475
134,79228,156127.0,155589.367107673,159522.72541543504
135,79229,151850.0,151785.35328502915,156564.9895876631
136,79230,82061.0,82507.96115639522,82394.08541672626
137,79231,84099.0,89183.62146125839,91211.70637295627
138,79232,110014.0,111303.89181570405,113490.28087956442
139,79233,111167.0,112172.18633968144,117571.31041358845
140,79234,107059.0,109014.79837085097,111774.42817397819
141,79235,84076.0,84228.5665491779,87190.16259206942
142,79236,81916.0,83323.52962094417,85203.20555677479
143,79237,78050.0,79686.41169763947,82545.91360878506
144,79238,165278.0,164388.30952976327,168937.40730648953
145,79239,90605.0,89223.4473307314,88197.88847896719
146,79240,97422.0,98087.62924778619,103165.92972655012
147,79243,39024.0,39023.99999999986,42312.56099313771
148,79244,32546.0,33052.91603954586,34849.68425867864
149,79245,19696.0,20434.204151277445,21308.262225858634
150,79246,19456.0,20189.80835624576,20484.65349532795
151,79247,40603.0,40506.27862459906,42116.75688467271
152,79248,50607.0,50045.55862282487,52402.39043597589
153,79249,116272.0,116433.4401548098,121024.5992725606
154,79250,118635.0,118760.04143679605,123742.01052692668
155,79251,42819.0,44295.20326580864,46203.13018474329
156,79253,105280.0,105853.10167324782,110556.05074979928
157,79263,23667.0,22886.085110954486,22793.562106528756
158,79264,40027.0,40444.95451874238,42926.87987409999
159,79265,142429.0,141502.480632784,142665.47785640176
160,79266,75380.0,74590.08142789002,75805.23343888299
161,79271,137365.0,136233.07406374832,137692.15170084254
162,79272,91938.0,92428.85137994796,95273.7075772104
163,79273,137606.0,138956.07136484302,143311.95620356215
164,79274,117331.0,116630.27969913275,119343.30014333052
165,79275,125348.0,124565.02538273396,124646.10985687403
166,79276,106253.0,109248.39803628116,114026.81996561197
167,79277,95392.0,95151.8432725692,96945.3527527401
168,79278,120857.0,121419.56718386206,125043.5199858721
169,79279,108389.0,108681.4976429683,111615.50245312619
