,zipcode,train,train_pred,test_pred
0,85294,80841.0,80906.21641549087,81996.61780491933
1,85295,54315.0,52915.59121222739,51896.13796894912
2,85296,37468.0,37467.999999995336,38245.88621266946
3,85298,166184.0,167686.2307339598,171094.32923855117
4,85299,217873.0,219105.88401626542,222422.72411492834
5,85300,144315.0,143514.92796293643,145402.09449208234
6,85302,155008.0,153001.7281587246,154634.13213297018
7,85303,68073.0,67713.60446437793,67938.8702560049
8,85306,124461.0,126612.79029948474,127580.22733056877
9,85307,59641.0,59904.07190398708,61382.32970730103
10,85308,37110.0,37108.41763953895,38067.63154320772
11,85309,42061.0,40452.470476975934,40004.04003497117
12,85311,204490.0,204945.9395162526,207703.0971426332
13,85312,88002.0,89743.39939485105,93104.83349865198
14,85314,37793.0,37523.53023533277,37542.53350539345
15,85315,95160.0,94436.54886586468,96378.10785961956
16,85316,70909.0,70323.7134145992,70181.53104729808
17,85317,53591.0,53407.65697435262,52064.391678611944
18,85318,85729.0,83926.56392028077,86029.34536954398
19,85319,59092.0,59657.117698038506,60180.91461453267
20,85320,104642.0,105006.19141158533,106161.50901648686
21,85321,48857.0,48299.05373310388,48796.39948175368
22,85323,80063.0,80069.80021081417,81844.4085678314
23,85324,55368.0,53401.44719073301,52090.31496293587
24,85325,38169.0,37234.40191529385,36909.915139472905
25,85326,36659.0,36617.478510186746,37131.78431397805
26,85327,79750.0,78521.80035196502,78849.6261458572
27,85328,193382.0,193875.24591073027,195314.70904506592
28,85332,23496.0,21519.16249145962,21355.079027254807
29,85337,117983.0,119215.15557194113,119915.77732592923
30,85338,134817.0,133993.63127685705,137516.1536174301
31,85339,165561.0,164966.8412483126,167222.63030030378
32,85340,185625.0,185537.80858965396,188634.9711336676
33,85341,77813.0,76577.30560525222,76158.54198161827
34,85342,165928.0,166085.25420715022,169702.3369254943
35,85343,89443.0,89459.70744390548,90732.83047880106
36,85344,94304.0,94771.35889504355,95636.91885451242
37,85345,157802.0,157886.3894473643,159300.4428158416
38,85347,105090.0,105652.19916582144,106142.81367176159
39,85350,112378.0,112720.81609478578,114055.93025580765
40,85351,164458.0,164280.2263885479,167230.54088837586
41,85352,123924.0,124412.03671947683,126918.6899952088
42,85353,87722.0,89651.97229090988,91138.60053910539
43,85354,76233.0,76333.5150195706,77349.75151105197
44,85355,132217.0,132012.3233631148,133516.07460281195
45,85356,221337.0,221126.95140354524,225609.99502536881
46,85357,84357.0,83627.53528962398,85359.66021889535
47,85359,90879.0,91207.1118709773,90339.33475964288
48,85360,70375.0,69533.767247455,71960.26771722468
49,85361,86408.0,86167.76203417436,87150.87341402611
50,85362,66913.0,66809.10633830797,66598.24279268578
51,85363,179914.0,179708.06889385026,181583.147745585
52,85364,181188.0,179938.4296573644,182657.50539310163
53,85365,149629.0,149428.20163392325,152122.5915280229
54,85366,114189.0,113396.44605974887,115354.64488070115
55,85368,139461.0,138504.30913875194,141952.0105361423
56,85369,176985.0,177652.7642669913,180418.62866129808
57,85370,99534.0,99812.10234748336,101010.03551937385
58,85371,77553.0,77884.18766149711,78869.33344232806
59,85372,71116.0,70841.47359176255,72209.32900289696
60,85373,138247.0,138152.06628584224,139196.56658948248
61,85374,88362.0,89119.65882109501,90618.83969864837
62,85375,124019.0,124537.5535657148,125566.32827111451
63,85376,74873.0,75272.84567099049,76758.13412068781
64,85377,168038.0,168969.45049547494,170429.61058401858
65,85379,201765.0,201357.97508742433,202224.65346365707
66,85381,83199.0,82450.91826404494,84404.31076289601
67,85382,118209.0,117548.07646311691,119824.99530440908
68,85383,122056.0,119765.98054801316,120753.37519564305
69,85384,152733.0,152443.88084611858,154854.76928483462
70,85385,116388.0,116369.52180235507,121397.54808580918
71,85386,143331.0,142594.76499182443,146479.70324642997
72,85387,212571.0,212087.3020870218,213699.55028495734
73,85388,121881.0,121650.54950840746,124540.31662516746
74,85389,75914.0,74812.63633483896,75143.19595970828
75,85390,89833.0,91477.26879591156,93608.33439508411
76,85391,76675.0,75195.2486410908,74496.35573337242
77,85392,148812.0,148794.7400327325,152508.1127696803
78,85393,125170.0,123479.87569249255,123885.05449065323
