,zipcode,train,train_pred,test_pred
0,99896,170972.0,171056.6614701241,175758.44751368125
1,99897,288141.0,288810.10590173374,300880.42826974223
2,99898,345708.0,347049.2330582294,361007.68508665334
3,99899,187753.0,186323.7336843593,193046.96753135056
4,99900,169052.0,169479.03390988984,178694.0193470822
5,99901,258735.0,259816.02147771712,272476.128988055
6,99902,297315.0,298883.6212263248,311873.17769809475
7,99904,478978.0,479626.00827343186,489711.84344950947
8,99905,261767.0,262534.7910822858,269841.0271202394
9,99906,390408.0,390251.42834988167,407453.6686615317
10,99907,415876.0,416807.70076866687,425335.22841167595
11,99908,273575.0,273910.1533512824,282745.59170882637
12,99909,564309.0,564970.5701469348,576116.136145256
13,99910,488794.0,490427.72187373746,499885.02137035964
14,99911,253577.0,253923.8915489623,264016.05367052014
15,99912,280757.0,280359.1472312154,288444.9348287193
16,99913,310205.0,315077.8082153969,329065.07773454225
17,99914,260793.0,257720.67194080912,266292.09160573874
18,99915,218613.0,215570.08847125087,216960.15436463663
19,99916,246361.0,247383.46154869816,253025.42558799242
20,99917,191249.0,188858.00599755064,190021.47168484403
21,99918,275080.0,275051.91945321736,280678.9690734955
22,99919,224522.0,225262.46129258914,227802.98747099572
23,99920,172541.0,171351.96364503156,173156.99474604262
24,99921,221986.0,217529.7539840236,224272.888820638
25,99923,480785.0,479439.0117116648,498041.20964384585
26,99924,246614.0,245793.2675197941,252219.48037156276
27,99925,373761.0,375418.6338708975,391868.79916753585
28,99926,261468.0,263083.07710042514,277614.0676350074
29,99927,96472.0,96957.39478709783,99499.21848376912
30,99928,467684.0,468145.89453108434,477033.0978894383
31,99929,229593.0,230037.55140350884,235197.9891113648
32,99930,267650.0,268608.95045077725,282203.5010543981
33,99931,317506.0,316890.70678106206,324967.2706240477
34,99933,247335.0,247835.3204146339,254560.1835013593
35,99934,297875.0,296926.82509412605,304674.23864441254
36,99935,217047.0,217269.26640920166,221808.1400159262
37,99936,231606.0,228235.47803083362,235694.85859997402
38,99937,475191.0,476254.64846373606,484084.24550328986
39,99938,189336.0,187087.30397242578,191478.33870410212
40,99939,198715.0,200491.4587399011,203942.56351094152
41,99940,326166.0,331084.45496552443,345892.62964980653
42,99941,197681.0,195638.1120026359,202993.43835090514
43,99942,351946.0,350214.9942357977,360758.52171503444
44,99943,327470.0,336016.90866959776,352221.6279739306
45,99944,449517.0,450328.59321521246,469274.91489137715
46,99945,520592.0,520942.51768966205,534429.3392599185
47,99946,334807.0,337237.8343168195,347957.96046505147
48,99947,327171.0,327541.2716529694,336633.36136608437
49,99948,338060.0,338953.8952659182,347551.9255439743
50,99949,336018.0,337338.11019344226,347027.56517132994
51,99950,336180.0,337322.159432711,346644.03243210434
52,99951,352335.0,353851.3189501173,362944.6064558599
53,99955,301984.0,301919.6898324052,312666.0946026727
54,99956,422434.0,423982.1995434203,433331.0858580099
55,99957,447192.0,446838.8601915811,458851.1798172392
56,99958,113088.0,113863.52064277504,115088.56627352287
57,99959,401270.0,403790.61876576004,418961.8964437577
58,99960,430264.0,430566.22543775785,438689.53207691666
59,99961,345651.0,346161.8307876249,355022.8825106673
60,99962,393477.0,393502.00133042346,400040.38040977175
61,99963,349453.0,350110.2932691915,359014.8043443791
62,99964,417434.0,419333.3998249343,428552.88073742314
63,99965,418440.0,420666.03378605266,429411.70360865735
64,99967,332756.0,336062.42922908324,351168.1052875239
65,99968,358422.0,358106.4223060739,368246.7063000164
66,99970,214753.0,220012.74749071535,243311.89400105676
67,99971,227415.0,226445.26611128656,233163.0563904287
68,99972,171356.0,171454.75724533142,177682.349338546
69,99973,334288.0,332718.9733746007,337359.77901223814
70,99974,356599.0,356341.21202622703,373245.10770587745
71,99975,478656.0,481147.7127405993,494971.1146627024
72,99976,245162.0,247046.25572729777,255613.8773433769
73,99977,163810.0,163668.01700875474,166190.22724861384
74,99978,316913.0,318736.2981258916,336116.8619093752
75,99979,313908.0,314703.1260002049,333331.51740685536
76,99980,187180.0,185743.60128541078,193164.84388398225
77,99982,520238.0,522159.7465415191,545308.9726603301
78,99983,201121.0,203747.62425503088,209400.95526620117
79,99984,315148.0,319454.01494936703,332112.4066740924
80,99985,152491.0,151206.12389570707,152564.31006427098
81,99986,164866.0,164509.96207061072,170521.83501378645
82,99987,451184.0,454668.9751613301,475420.6671235606
83,99988,126705.0,124822.65410132006,128562.07721748609
84,99989,421696.0,420524.75008313434,430100.6131017665
85,99990,236246.0,235888.33817778746,241424.61396514578
86,99991,359367.0,357407.15393637546,375832.82121105545
87,99992,227160.0,225237.9391849987,231655.4980730383
88,99993,188245.0,188339.4725641581,191490.13774283137
89,99994,192719.0,192450.28708827758,195807.220027492
90,99995,450009.0,449623.70050761366,460967.7982809354
91,99996,196764.0,195704.7489382956,197316.2276329642
92,99997,299034.0,295752.85757872975,304679.7114903298
93,99998,288635.0,288788.64858922863,294517.294226266
94,99999,352815.0,354386.7261036167,371225.03545905725
95,100000,272234.0,269933.2747540256,279962.256090019
96,100001,200803.0,200620.48879537405,203968.47576473505
97,100002,240507.0,239271.71390147845,246326.65711643329
98,100003,174974.0,173770.59505321173,179394.28734606662
99,100005,167485.0,163474.11206794714,162795.0923464735
100,100006,199544.0,199029.15671407216,202023.60941687203
101,100007,312769.0,312009.7811424282,318607.4104877015
102,100008,151691.0,158665.310767272,165137.43290272233
103,100009,209071.0,208827.08004750073,215313.96773777512
104,100010,191624.0,190244.13721205402,194164.75888429407
105,100011,103538.0,104922.99727380229,107171.43465441288
106,100012,437632.0,436403.3011180845,446187.9411217988
107,100013,200736.0,199826.173938365,209440.87919478182
108,100014,185048.0,183101.1022298818,191223.02705541966
109,100015,231721.0,231104.22232110615,240419.0586991616
110,100018,289686.0,289517.50781580375,301208.1813605717
111,100022,422057.0,421949.3878159773,434372.0652739057
112,100023,215156.0,214804.746641717,224206.84282559433
113,100024,427413.0,430121.2925758757,443656.5192506218
114,100025,327396.0,316423.72049903416,314433.3738238454
115,100027,205668.0,204727.52739374147,215349.7112126695
116,100028,174144.0,174594.00039737424,183030.11807125993
117,100029,169087.0,167818.69903981502,174788.16012397132
118,100030,210396.0,209798.72789166143,215005.14722747446
119,100031,153750.0,157118.47700389754,162915.34631177253
120,100032,248537.0,248083.42455701073,259082.6787062001
121,100033,233078.0,231896.6729771915,242086.56126423812
122,100034,200037.0,200039.6226438486,210659.6075389588
123,100035,108073.0,108072.9999999977,103330.42584039507
124,100036,414397.0,415068.2427749227,427992.44459076645
125,100037,264029.0,264193.6718492591,272415.0325371296
126,100038,280189.0,280802.1000466268,292700.63816525385
127,100039,260602.0,256240.2387467073,260427.6900879212
128,100040,189959.0,189240.5726442784,197932.90449338028
129,100041,376143.0,376033.70806654467,385211.3893997141
